,disease,disease_label_doid,taxon_doid,taxon_label_doid,symptom,symptom_label,tax_id
0,http://purl.obolibrary.org/obo/DOID_2047,hepatitis D,http://purl.obolibrary.org/obo/NCBITaxon_10407,Hepatitis B virus,,,10407
1,http://purl.obolibrary.org/obo/DOID_2047,hepatitis D,http://purl.obolibrary.org/obo/NCBITaxon_12475,Hepatitis delta virus,,,12475
2,http://purl.obolibrary.org/obo/DOID_13238,Haverhill fever,http://purl.obolibrary.org/obo/NCBITaxon_34105,Streptobacillus moniliformis,,,34105
3,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_1655,Actinomyces naeslundii,,,1655
4,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_1660,Actinomyces odontolyticus,,,1660
5,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_1750,Propionibacterium propionicum,,,1750
6,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_52769,Actinomyces gerencseriae,,,52769
7,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_52773,Actinomyces meyeri,,,52773
8,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_1659,Actinomyces israelii,,,1659
9,http://purl.obolibrary.org/obo/DOID_8478,actinomycosis,http://purl.obolibrary.org/obo/NCBITaxon_1656,Actinomyces viscosus,,,1656
10,http://purl.obolibrary.org/obo/DOID_96,staphyloenterotoxemia,http://purl.obolibrary.org/obo/NCBITaxon_1280,Staphylococcus aureus,,,1280
11,http://purl.obolibrary.org/obo/DOID_5154,borna disease,http://purl.obolibrary.org/obo/NCBITaxon_12455,Borna disease virus,,,12455
12,http://purl.obolibrary.org/obo/DOID_0050290,trichosporonosis,http://purl.obolibrary.org/obo/NCBITaxon_5552,Trichosporon <Trichosporonales>,,,5552
13,http://purl.obolibrary.org/obo/DOID_0050125,dengue shock syndrome,http://purl.obolibrary.org/obo/NCBITaxon_12637,Dengue virus,,,12637
14,http://purl.obolibrary.org/obo/DOID_0050125,dengue shock syndrome,http://purl.obolibrary.org/obo/NCBITaxon_11053,Dengue virus 1,,,11053
15,http://purl.obolibrary.org/obo/DOID_13369,tinea manuum,http://purl.obolibrary.org/obo/NCBITaxon_4890,Ascomycota,,,4890
16,http://purl.obolibrary.org/obo/DOID_13369,tinea manuum,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
17,http://purl.obolibrary.org/obo/DOID_13026,lobomycosis,http://purl.obolibrary.org/obo/NCBITaxon_121752,Lacazia loboi,,,121752
18,http://purl.obolibrary.org/obo/DOID_13034,relapsing fever,http://purl.obolibrary.org/obo/NCBITaxon_138,Borrelia,,,138
19,http://purl.obolibrary.org/obo/DOID_0050046,Far Eastern spotted fever,http://purl.obolibrary.org/obo/NCBITaxon_226665,Rickettsia heilongjiangensis,,,226665
20,http://purl.obolibrary.org/obo/DOID_1024,leprosy,http://purl.obolibrary.org/obo/NCBITaxon_1769,Mycobacterium leprae,,,1769
21,http://purl.obolibrary.org/obo/DOID_11055,pasteurellosis,http://purl.obolibrary.org/obo/NCBITaxon_747,Pasteurella multocida,,,747
22,http://purl.obolibrary.org/obo/DOID_0050174,Kunjin encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11082,West Nile virus,,,11082
23,http://purl.obolibrary.org/obo/DOID_0050174,Kunjin encephalitis,http://purl.obolibrary.org/obo/NCBITaxon_11077,Kunjin virus,,,11077
24,http://purl.obolibrary.org/obo/DOID_0050134,cutaneous mycosis,http://purl.obolibrary.org/obo/NCBITaxon_4751,Fungi,,,4751
25,http://purl.obolibrary.org/obo/DOID_11976,botulism,http://purl.obolibrary.org/obo/NCBITaxon_36827,Clostridium botulinum B,,,36827
26,http://purl.obolibrary.org/obo/DOID_11976,botulism,http://purl.obolibrary.org/obo/NCBITaxon_36826,Clostridium botulinum A,,,36826
27,http://purl.obolibrary.org/obo/DOID_11976,botulism,http://purl.obolibrary.org/obo/NCBITaxon_36830,Clostridium botulinum E,,,36830
28,http://purl.obolibrary.org/obo/DOID_11976,botulism,http://purl.obolibrary.org/obo/NCBITaxon_36831,Clostridium botulinum F,,,36831
29,http://purl.obolibrary.org/obo/DOID_11729,Lyme disease,http://purl.obolibrary.org/obo/NCBITaxon_139,Borrelia burgdorferi,,,139
30,http://purl.obolibrary.org/obo/DOID_9159,gas gangrene,http://purl.obolibrary.org/obo/NCBITaxon_1502,Clostridium perfringens,,,1502
31,http://purl.obolibrary.org/obo/DOID_3482,plague,http://purl.obolibrary.org/obo/NCBITaxon_632,Yersinia pestis,,,632
